album_id,additional_artist
6588,Shannon F.
6599,Brandon Summers
6611,Paul Hammer
6622,Vincent Kircher
6626,Christopher Allen
6664,Adrian Young
6665,Louis Benjamin Falgoust
6667,"Lee ""Scratch"" Perry"
6675,Nick Hodgson
6712,Syd the Kyd
6727,William Kennedy
6729,Courtney Taylor-Taylor
6735,George Clarke
6767,Erik Olofsson
6773,Carter Wilson
6785,Denis Belanger
6793,Wonou Walet Sidati
6802,Adam Wentworth
6812,Ayse Hassan
6816,Peter Greenberg
6826,Holden
6849,Pete Wareham
6855,The London Suede
6867,Richard Swift
6871,Sean Kennedy
6894,Matt Sweeney
6896,Andrew Field-Pickering
6900,Ben Weinman
6901,Yoko Ono
6902,Mike Patton
6904,Aesop Rock
6933,Luther Dickinson
6944,Adrian Younge
6948,Justin Sherburn
6952,Kristin Hersh
6961,Arone Dyer
6982,Matthew Smith
6991,Mats Gustafsson
6993,Noah Kardos-Fein
6996,Tim Brennan
6998,Thomas Wincek
6999,Logan Kroeber
7008,Taylor Rice
7018,Elvis Costello
7027,Kevin Johnson
7034,Brett Sparks
7040,Sean Lennon
7049,Royal Strings
7054,Nick Chiericozzi
7055,Heather McEntire
7058,Conan Roberts
7061,Thomas Bartlett
7065,Erica Stichbury
7070,Stephen Ramsay
7077,Tim Walsh
7085,David Miller
7102,James Ford
7108,Bill Stevenson
7109,Stephen O'Malley
7112,Ted Joyner
7113,Owen Williams
7117,Warren Haynes
7118,George Clarke
7150,Erik Olofsson
7156,Carter Wilson
7168,Denis Belanger
7176,Wonou Walet Sidati
7185,Adam Wentworth
7195,Ayse Hassan
7199,Peter Greenberg
7209,Holden
7232,Pete Wareham
7238,The London Suede
7250,Richard Swift
7254,Sean Kennedy
7277,Matt Sweeney
7279,Andrew Field-Pickering
7283,Ben Weinman
7284,Yoko Ono
7285,Mike Patton
7287,Aesop Rock
7316,Luther Dickinson
7327,Adrian Younge
7331,Justin Sherburn
7335,Kristin Hersh
7344,Arone Dyer
7365,Matthew Smith
7374,Mats Gustafsson
7376,Noah Kardos-Fein
7379,Tim Brennan
7381,Thomas Wincek
7382,Logan Kroeber
7391,Taylor Rice
7401,Elvis Costello
7410,Kevin Johnson
7417,Brett Sparks
7423,Sean Lennon
7432,Royal Strings
7437,Nick Chiericozzi
7438,Heather McEntire
7441,Conan Roberts
7444,Thomas Bartlett
7448,Erica Stichbury
7453,Stephen Ramsay
7460,Tim Walsh
7468,David Miller
7485,James Ford
7491,Bill Stevenson
7492,Stephen O'Malley
7495,Ted Joyner
7496,Owen Williams
7500,Warren Haynes
7502,Kim Gordon
7505,Virgina
7507,Michael Ward
7508,Evan Thomas Weiss
7510,Claudio Sanchez
7519,King Khan
7523,Bryan Herweg
7524,Karolina Komstedt
7526,Jonny Bell
7529,Dave W.
7531,Adam Carson
7532,Max Gregor
7533,Kristian Emdal
7547,Matthew K. Heafy
7552,Khaela Maricich
7564,Sam Coomes
7572,Molly Hamilton
7578,Machine Drum
7588,Daniel Brandt
7602,Trent Reznor
7605,Greg Simpson
7608,F.X. Mackanoid
7627,Chris Bug
7629,Zac Carper
7631,Jim Eno
7635,Aaron Harris
7638,Adam O'Regan
7644,Tom Watt
7645,Vince Clarke
7647,Adam Lee Miller
7654,Rob Crowell
7668,Omar Rodriguez-Lopez
7672,Thom Powers
7679,Ozzy Osbourne
7702,Robert Glasper
7706,Dave Miller
7708,Jason Loewenstein
7719,Tom Linton
7735,Jenn Wasner
7742,Philip H. Anselmo
7747,Devon Portielje
7752,Evan Gordon
7760,Arin Ilejay
7764,Chaz Bundick
7787,Dan Molad
7788,Neil Halstead
7795,John Flansburgh
7798,King Buzzo
7801,Jackson & His Computerband
7803,Ross Peacock
7808,Nikolaj Manuel Vonsild
7815,Stephanie Bailey
7820,Patricia Hall
7821,David Holmes
7829,David Davila
7838,Jimmy Carter
7847,Papa Emeritus II
7848,April Aliermo
7860,Valo
7866,Thomas Mullarney III
7880,Chris Rusk
7893,Zach Rogue
7904,Andy Fletcher
7907,Robert Levon Been
7910,Rob Garcia
7927,Cully Symington
7934,Philip Dickey
7937,Richie James Follin
7939,Dean Hurley
7941,Max Cavalera
7942,Travis Barker
7943,Noelle Scaggs
7947,Sam Hopkins
7957,Mariko Doi
7958,Eric Earley
7995,Jeff Curtin
8002,Milo Bonacci
8011,Petter Agurén
8020,Gilbert Vierich
8022,Christian Zucconi
8031,Jimmy Welsh
8053,Dave Mustaine
8061,Adam Vass
8070,Paul Franklin
8072,Dylan O'Toole
8077,Sam Macintyre
8090,Ben Stidworthy
8094,Count Orlof
8110,Jessica Weiss
8115,James Bowman
8130,Nick Thieneman
8133,Ben Daniels
8166,Chris Thile
8167,Mark Devine
8184,Orlando Julius
8185,Margaret Chardiet
8205,John Collins
8209,Anne Dromeda
8216,Jack Cooper
8217,Trayer Tryon
8219,Naomi Shelton
8222,Alejandro Ghersi
8226,Ben Cook
8227,Aimee Mann
8228,Pat Metheny
8229,Jon Langford
8265,Nigel Young
8275,Mark Lanegan
8280,Patterson Hood
8287,Brandon Setta
8294,Mike Peterson
8295,Amelia Meath
8302,Brian Patton
8306,Erik Bodin
8308,Brendan Kelly
8315,Charles Atlas
8317,Michael York
8336,Loke Rahbek
8344,Kamer Maza
8359,Brendan Lukens
8362,Nick Edwards
8367,Jenn Wasner
8371,Armand Van Helden
8373,Andrew Hernandez
8388,Krolg Splinterfist
8388,Slayer of Man
8390,Neige
8402,Kristian Emdal
8407,The Camaraderie
8411,Olly Joyce
8415,Brandon Young
8419,Pat Mahoney
8420,Jad Fair
8422,James Johnston
